player_id: 3036, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3037, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3038, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3039, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3040, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3041, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3042, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3043, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3044, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3045, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3046, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3047, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3048, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3049, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3050, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3051, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3052, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3053, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3054, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3055, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3056, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3057, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3058, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3059, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3060, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3061, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3062, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3063, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3064, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 3065, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 4238, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6480, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6481, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6482, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6483, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6709, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6710, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6711, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6712, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6713, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6714, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6715, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6716, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6717, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6718, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6719, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6720, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6721, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6722, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6723, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6724, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6725, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6726, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6727, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6728, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6729, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6730, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6731, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6732, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6733, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6734, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6735, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6736, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6737, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
